Year,PubSPEN77,DEPOSIT77,IMP77,KREDI77,POP,GDP77,deflatör,ElectricKwH,DummyCorona,USDTRYchg, CPIchg 
1977,1186.10,,,,,,1.00,,0,,
1978,1095.28,,,,,,1.31,,0,,32.41
1979,1185.31,,,,,,2.02,,0,,77.66
1980,1019.53,,,,,,4.13,,0,,92.97
1981,1156.77,,,,,,6.24,,0,46.76,42.85
1982,1239.95,1263.61,2513.07,2037.19,153239,4315.80,7.82,214.70,0,45.9,33.19
1983,1536.21,1583.00,3179.28,2592.39,155521,4382.60,10.59,232.30,0,39.23,33.83
1984,1723.19,2031.11,3200.25,2320.20,157984,4637.10,15.65,247.00,0,61.17,70.72
1985,1833.50,2026.72,3025.10,738.18,160287,4998.30,24.97,260.50,0,42.53,43.04
1986,1922.77,2499.26,2853.14,837.45,162676,5232.30,36.65,274.10,0,29.67,48.09
1987,2085.12,2812.03,3788.88,998.97,165035,5580.70,50.86,287.50,0,26.47,43.01
1988,1887.17,3269.53,3883.71,1014.72,167256,5999.10,79.86,291.10,0,66.27,62.57
1989,1865.72,3316.37,4074.90,1408.56,169272,6515.90,137.83,307.40,0,48.53,51.81
1990,2365.54,3141.42,4504.07,1812.80,171469,6935.80,221.83,341.40,0,22.89,69.41
1991,2588.90,3878.67,3673.94,1703.63,173756,6552.20,344.19,372.60,0,60.2,46.33
1992,2416.24,4833.32,4519.47,2197.87,175118,7082.00,566.72,409.40,0,64.65,63.37
1993,2722.99,7312.64,4394.83,3266.63,177120,7424.50,919.68,434.20,0,60.53,61.16
1994,2744.20,7357.31,3758.23,3241.97,179208,7144.00,2281.35,426.00,0,169.93,215.01
1995,2894.89,6426.54,3613.18,3835.40,181363,7360.00,4717.07,435.20,0,53.95,72.15
1996,2942.61,7992.84,3156.98,3990.96,183290,7637.70,8285.37,454.50,0,78,87.54
1997,3405.80,9353.49,3750.32,5610.57,201914,7967.60,14728.06,472.30,0,86.81,81.67
1998,3838.33,8657.41,4093.68,6425.22,204225,8383.80,27592.91,511.80,0,71.61,66.49
1999,4292.07,10949.14,3892.24,6801.12,206562,9013.90,44778.39,535.60,0,60.98,55.3
2000,4609.64,8057.37,3692.90,4887.03,208886,9018.20,72072.52,609.50,0,48.46,53.24
2001,3932.81,9142.69,2557.79,3510.77,211191,8535.70,125256.55,592.90,0,96.47,77.09
2002,5159.59,12231.33,3003.70,3153.75,213491,9062.30,155336.04,601.70,0,22.88,24.41
2003,5481.67,13094.20,3787.95,3519.61,215790,10018.80,187388.08,616.00,0,-0.85,12.67
2004,5876.49,14830.69,5673.63,4900.70,218066,11441.30,214725.96,705.70,0,-4.74,11.63
2005,6359.85,15126.65,7187.92,6130.19,220289,13016.20,235889.20,797.90,0,-5.73,2.7
2006,7078.14,17039.92,7299.21,7683.60,257513,14673.90,271781.85,855.30,0,6.74,19.15
2007,6965.23,15904.23,6548.15,8075.66,268011,15091.30,305095.79,955.90,0,-9.06,9.37
2008,6823.11,15908.37,6224.31,8942.35,274436,14657.40,346576.32,989.20,0,-0.66,14.62
2009,6633.77,16590.15,5282.03,9063.58,283736,13850.00,388181.87,922.20,0,19.66,5.57
2010,6806.65,17503.65,6181.07,10716.15,286973,14360.80,390934.83,887.70,0,-3.02,3.26
2011,6519.43,18535.70,6528.01,12381.00,283881,14917.10,436344.62,1136.40,0,11.31,14.7
2012,6473.21,19596.40,6707.85,13730.95,292129,15188.10,457929.87,1220.50,0,7.33,3.59
2013,6580.89,21560.25,6551.41,15880.31,301988,15349.10,495592.49,1197.40,0,5.79,10.2
2014,6598.43,21369.90,7091.08,16227.06,313626,16078.60,550955.09,1180.50,0,15.03,6.48
2015,6284.61,22820.58,6687.71,17011.47,326160.81,16722.07,611315.08,1264.70,0,24.32,7.76
2016,6215.24,24860.84,7046.78,17810.98,335454.71,17331.47,669373.58,1395.80,0,11.07,10.19
2017,6276.69,26510.36,8195.79,18133.37,345722,18276.00,795842.87,1469.00,0,20.65,14.7
2018,5510.69,26724.97,8755.01,18052.77,362225.66,18520.40,989404.40,1489.98,0,31.77,29.99
2019,6663.59,28460.15,7831.40,18467.10,420556,18569.87,1153800.06,1513.83,0,18.06,11.67
2020,6391.72,30303.48,6720.41,19726.57,419810,15555.55,1378971.45,1412.91,0,23.6,15.03
2021,5548.36,35353.41,7569.00,21593.14,448268,16163.96,1871929.97,1501.53,0,26.77,46.08
2022,4260.46,25808.73,9396.40,13346.00,462747,18312.76,4042216.49,1731.54,0,86.42,94.51
2023,5322.50,27721.24,10076.94,13045.86,476214,19649.54,6735551.54,1810.45,0,43.35,83.97
2024,7828.09,23549.37,10582.96,11624.85,489308,21310.57,10885856.95,1984.63,0,38.11,53.29
2025,8728.65,25628.30,9964.35,13292.51,504880,,14875041.00,2135.80,0,20.38,39.45
2026,,,,,520785,,,,0,,
2027,,,,,537038,,,,0,,
